"","X","Y","Above.Ground","Color"
"190",-73.9537691298752,40.7941272599797,"0","999999"
"191",-73.9764839973068,40.7691725326976,"0","247450"
"192",-73.9737773613311,40.7673662611015,"0","999999"
"193",-73.965796978969,40.7760402842845,"0","999999"
"194",-73.9679336341793,40.7754186579647,"0","999999"
"195",-73.9761107065353,40.769642060286,"30","111111"
"196",-73.9771614686616,40.7709677983247,"10","247450"
"197",-73.9510747586301,40.7973106833951,"0","999999"
"198",-73.9598015842806,40.7973522744237,"5","999999"
"199",-73.9718729101676,40.7703692621371,"0","999999"
"200",-73.9638774579549,40.7913532129148,"0","999999"
"201",-73.9679538163341,40.7837103696906,"0","247450"
"202",-73.9564724104048,40.7936055508162,"0","999999"
"203",-73.9770824412252,40.7709961309457,"15","999999"
"204",-73.9677646187171,40.7746492806333,"0","999999"
"205",-73.9710760196868,40.7725506006789,"0","999999"
"206",-73.9711298491132,40.7676902603543,"15","000000"
"207",-73.9702755805141,40.7783547795222,"0","999999"
"208",-73.9638837160341,40.7809747900833,"5","999999"
"209",-73.968367485157,40.7838472644815,"0","999999"
"210",-73.9772576561244,40.7679895093963,"0","247450"
"211",-73.9519639918804,40.7949911702392,"0","999999"
"212",-73.9754270368984,40.7702411502308,"0","999999"
"213",-73.9712327308512,40.7748702909218,"0","247450"
"214",-73.9712318712643,40.7773053099657,"0","999999"
"215",-73.9761209945419,40.7682404528903,"0","999999"
"216",-73.967181612203,40.7787752287055,"35","999999"
"217",-73.9665709146738,40.7839384318554,"0","999999"
"218",-73.9770273553525,40.7732399463626,"3","111111"
"219",-73.9737091707831,40.7713732567512,"0","999999"
"220",-73.9520592496349,40.7975076299811,"4","247450"
"221",-73.963842266151,40.7887340867773,"0","999999"
"222",-73.9775681731459,40.7676421190309,"100","999999"
"223",-73.9598155300913,40.7905887826983,"0","000000"
"224",-73.9728660779622,40.7753294525644,"0","999999"
"225",-73.972416242971,40.7714260236636,"6","999999"
"226",-73.9731498064872,40.7659963196581,"0","999999"
"227",-73.9527808174534,40.7924167234441,"0","999999"
"228",-73.9624184586031,40.7921524868211,"0","999999"
"229",-73.9568343093228,40.7949401350882,"0","247450"
"230",-73.9741401377844,40.7758134257881,"0","999999"
"231",-73.9753574279936,40.7683211694257,"0","999999"
"232",-73.9737266070919,40.7786338379896,"0","999999"
"233",-73.967895656898,40.7767409597341,"3","999999"
"234",-73.9760942252437,40.7742035674209,"0","999999"
"235",-73.9758464905133,40.7725957408841,"0","999999"
"236",-73.9767080512177,40.7717708794221,"0","999999"
"237",-73.9760256477558,40.7703573131398,"0","999999"
"238",-73.9593126695714,40.797533370163,"0","111111"
"239",-73.9590236602085,40.7982632456866,"0","999999"
"240",-73.9754778808471,40.7685619029765,"7","999999"
"241",-73.9597648775789,40.7903443029725,"0","999999"
"242",-73.9589414339242,40.7907073888277,"0","999999"
"243",-73.9779805668091,40.7680931566797,"0","999999"
"244",-73.9733117663541,40.7694584620114,"0","247450"
"245",-73.9751729403694,40.7743284123118,"0","999999"
"246",-73.9786339295735,40.7684918638639,"0","247450"
"247",-73.9726747666002,40.7703022669308,"0","999999"
"248",-73.9770718586754,40.7729752391435,"0","999999"
"249",-73.9570817579092,40.7964221087879,"0","999999"
"250",-73.974420668782,40.7749628597465,"0","999999"
"251",-73.9719735582476,40.7693045133578,"0","999999"
"252",-73.9589627056561,40.7847591558491,"0","999999"
"253",-73.9762246600197,40.775164077652,"0","247450"
"254",-73.9800669115792,40.7676825134384,"2","247450"
"255",-73.976798124308,40.7741316574113,"20","247450"
"256",-73.9773317054464,40.7684035996758,"0","247450"
"257",-73.9534333425633,40.7932564163328,"10","999999"
"258",-73.9726958070536,40.7706096126328,"20","999999"
"259",-73.978436117932,40.7724769242403,"15","999999"
"260",-73.9552861155228,40.788973931872,"3","247450"
"261",-73.9712876234172,40.7695885530701,"25","999999"
"262",-73.9771069181511,40.7670538214988,"0","247450"
"263",-73.9698714743386,40.7743814661685,"0","999999"
"264",-73.9691094942294,40.776760392858,"0","999999"
"265",-73.9786481009499,40.7697372811949,"0","999999"
"266",-73.9754742295091,40.7696998327247,"0","247450"
"267",-73.968107276769,40.7768612676036,"20","247450"
"268",-73.9591400366159,40.7891708599318,"0","999999"
"269",-73.9767191629692,40.7730786298701,"0","999999"
"270",-73.9661262885099,40.7844085550945,"3","999999"
"271",-73.9521950056404,40.794937340845,"0","999999"
"272",-73.9579218587172,40.7960605028848,"0","999999"
"273",-73.9639832886071,40.7909532437095,"0","999999"
"274",-73.974467903723,40.7686520352868,"0","999999"
"275",-73.9758579666874,40.7679326548845,"0","999999"
"276",-73.9619070229674,40.79525566925,"0","999999"
"277",-73.9787796921165,40.7707526535381,"0","999999"
"278",-73.9550082056509,40.7894521543449,"2","999999"
"279",-73.9587401274261,40.7960322222949,"0","999999"
"280",-73.9619411917909,40.7923536640283,"10","999999"
"281",-73.9701575891098,40.7730973282423,"0","999999"
"282",-73.9529060669193,40.7927909735388,"0","999999"
"283",-73.9547336666137,40.7938937756332,"5","999999"
"284",-73.9691433356733,40.7731708333242,"0","999999"
"285",-73.9720907384613,40.7762987836055,"7","999999"
"286",-73.9709281471442,40.7828097939777,"0","999999"
"287",-73.9731113265165,40.7786640676355,"10","999999"
"288",-73.9684254196866,40.77809016436,"0","999999"
"289",-73.9560679864426,40.7947887062326,"0","247450"
