X,Y,height,Color,Details
-73.9720347089273,40.7727750272024,0,Gray,Gathering/digging in grassy area b/w trees
-73.9691293546408,40.7703219076549,50,Gray,tree
-73.9552035011902,40.7889851896334,3,Cinnamon,In and below shrub
-73.9695305555392,40.7757541971012,15,Gray,tree
-73.9710951149579,40.772501245008,0,Black,"Behind fence, grass"
-73.9707012345661,40.7758938984066,10,Gray,hanging upside down to get a nut
-73.9563311167069,40.7950901563337,0,Cinnamon,running on rocks
-73.9782120139407,40.7717154468791,4,Gray,tree
-73.9685859705486,40.7848805065322,3,Gray,Tree
-73.9737100743183,40.7708360121735,0,Gray,Ground & Tree Base
-73.9532657715601,40.7949046809422,25,Gray,Tree
-73.9674631254594,40.7790076357696,2,Gray,Fence
-73.9722737593623,40.768963018754,20,Gray,tree
-73.9655955841325,40.7762063860571,0,Gray,edge of landscape
-73.9761579527932,40.7755877312075,0,Gray,in the bushes beneath a tree
-73.9541500874008,40.7920329989756,10,Cinnamon,Sitting on tree limb
-73.9702970919317,40.7696883113413,0,Gray,in grass
-73.9678154033099,40.7742783484486,10,Gray,in tree
-73.9676434256976,40.7862336624448,50,Gray,in tree
-73.9679309130266,40.7792437838039,0,Gray,Shore
-73.9719460335398,40.7810508156287,3,Gray,tree
-73.959516757215,40.7952545908471,0,Gray,On rock
-73.9775735077285,40.7692872082165,10,Gray,on stone arch
-73.9667474482967,40.7760643720793,10,Cinnamon,Oak tree
-73.9594357049738,40.7840678890949,4,Cinnamon,on bar
-73.9765805609072,40.7692807820935,0,Cinnamon,hopped over fence and chased # 6 around tree & ran it to end of lawn
-73.9707339200738,40.7796333355689,20,Gray,in a tree
-73.960237785199,40.7907831607574,0,Black,rocky outcrop
-73.9608399003798,40.7817704502248,18,Gray,on a tree
-73.9568544270881,40.7972517274475,3,Gray,on rock
-73.9689504114652,40.7766770153764,2,Cinnamon,on a fallen branch
-73.9593244415072,40.794964729747,0,Gray,Clearing near bike path (bikes active)
-73.9647904085226,40.7911589002217,0,Gray,Rock
-73.959070754026,40.7906675143413,0,Gray,treed area
-73.9803282698463,40.7680809889384,0,Gray,Tree to ground
-73.9696762034757,40.7704883494264,7,Gray,root bed of tree
-73.9667206046912,40.7779993565098,10,Gray,tree & ground
-73.9525699067954,40.7937125788106,0,Gray,on the lawn East of the fountain
-73.9669529835992,40.7871864151365,0,Gray,CROSS BRIDLE - INTO TREE TO AVOID DOGGO
-73.9590868748584,40.7906047630418,0,Gray,treed area
-73.9782813538421,40.7715730368712,30,Gray,tree
-73.9694979297007,40.7694667408721,0,Gray,Construction materials
-73.9762965341309,40.775112516678,0,Gray,Bridle Path lawn
-73.9779983794849,40.7675452099173,6,Gray,up tree
-73.9527924755398,40.7934366260533,50,Gray,in tree
-73.9677751507448,40.7790990066658,0,Gray,Shore
-73.9725897240269,40.7691342079294,20,Gray,in tree
-73.9651817987035,40.7819082838334,3,Gray,Climbs small tree
-73.9745556229855,40.7672921040998,0,Gray,close to tall tree & light post
-73.9543044385367,40.7984498571338,0,Cinnamon,rubbing belly on ground
