"","data.Date","data.Primary.Fur.Color","data.Running","data.Chasing","data.Climbing","data.Eating","data.Foraging"
"275",10082018,"Gray","false","false","false","true","false"
"276",10142018,"Gray","true","false","false","false","false"
"277",10102018,"Gray","false","false","false","false","true"
"278",10082018,"Gray","false","false","true","false","false"
"279",10132018,"Gray","false","false","false","false","true"
"280",10102018,"Gray","false","false","false","false","false"
"281",10172018,"Gray","false","false","false","false","true"
"282",10102018,"Gray","false","false","false","false","true"
"283",10072018,"Gray","true","false","false","false","false"
"284",10122018,"Gray","true","false","false","false","false"
"285",10192018,"Gray","false","false","true","false","false"
"286",10102018,"Gray","false","false","false","false","true"
"287",10172018,"Gray","false","false","true","true","false"
"288",10142018,"Gray","false","false","false","true","true"
"289",10062018,"Cinnamon","false","false","false","true","true"
"290",10132018,"Gray","false","false","false","false","false"
"291",10132018,"Gray","false","false","false","false","true"
"292",10172018,"Gray","false","false","false","true","false"
"293",10102018,"Gray","false","false","true","true","false"
"294",10172018,"Gray","false","false","false","false","true"
"295",10182018,"Gray","false","false","false","false","true"
"296",10102018,"Gray","false","false","false","false","true"
"297",10062018,"Cinnamon","false","false","false","false","false"
"298",10132018,"Gray","false","false","false","true","false"
"299",10172018,"Gray","true","false","true","false","false"
"300",10132018,"Gray","false","false","false","false","true"
"301",10072018,"Gray","false","false","false","false","true"
"302",10082018,"Cinnamon","false","false","true","true","true"
"303",10072018,"Gray","false","false","false","true","true"
"304",10132018,"Cinnamon","false","false","false","false","true"
"305",10082018,"Gray","false","false","false","false","false"
"306",10102018,"Gray","false","false","false","false","true"
"307",10132018,"Gray","false","false","false","false","true"
"308",10182018,"Gray","false","false","false","true","false"
"309",10072018,"Gray","false","false","false","false","true"
"310",10062018,"Gray","false","false","false","false","true"
"311",10192018,"Gray","true","false","false","false","true"
"312",10102018,"Gray","false","false","false","true","true"
"313",10062018,"Gray","false","false","false","true","false"
"314",10132018,"Gray","false","true","false","true","false"
"315",10202018,"Gray","true","false","false","false","false"
"316",10102018,"Gray","false","false","false","true","false"
"317",10132018,"Gray","false","true","false","false","false"
"318",10072018,"Cinnamon","false","false","false","true","false"
"319",10182018,"Cinnamon","true","false","false","false","true"
"320",10172018,"Gray","false","false","true","false","false"
"321",10062018,"Gray","true","false","false","false","false"
"322",10132018,"Gray","false","false","false","false","true"
"323",10122018,"Gray","false","false","false","false","true"
"324",10122018,"Black","false","false","false","true","true"
"325",10062018,"Gray","false","false","true","false","false"
"326",10132018,"Gray","false","false","false","false","true"
"327",10122018,"Gray","false","false","false","true","false"
"328",10182018,"Gray","true","false","false","false","false"
"329",10142018,"Gray","false","false","false","true","true"
"330",10062018,"Gray","false","false","false","true","false"
"331",10192018,"Gray","false","false","false","false","true"
"332",10062018,"Gray","false","false","false","true","true"
"333",10182018,"Gray","false","false","false","false","true"
"334",10062018,"Gray","false","true","false","true","false"
"335",10082018,"Gray","true","true","true","false","false"
"336",10202018,"Gray","true","false","false","false","false"
"337",10142018,"Gray","true","false","false","false","false"
"338",10182018,"Gray","false","false","true","true","false"
"339",10122018,"Gray","false","false","false","false","true"
"340",10142018,"Gray","false","false","true","false","false"
"341",10082018,"Gray","false","false","false","false","true"
"342",10192018,"Gray","false","false","false","false","true"
"343",10122018,"Gray","false","false","false","true","true"
"344",10122018,"Gray","false","false","false","false","true"
"345",10132018,"Gray","false","false","false","true","true"
"346",10072018,"Gray","false","false","true","false","false"
"347",10072018,"Cinnamon","false","false","false","false","true"
"348",10072018,"Cinnamon","false","false","false","true","true"
"349",10172018,"Gray","false","false","false","false","true"
"350",10142018,"Gray","false","false","false","false","true"
"351",10062018,"Gray","false","true","false","false","false"
"352",10132018,"Gray","false","false","false","true","true"
"353",10072018,"Gray","false","false","true","false","false"
"354",10102018,"Gray","false","false","false","true","true"
"355",10202018,"Gray","false","true","false","false","false"
"356",10172018,"Gray","false","false","false","true","true"
"357",10172018,"Cinnamon","false","false","false","false","true"
"358",10142018,"Gray","false","false","true","false","false"
"359",10062018,"Gray","false","true","false","false","false"
"360",10132018,"Gray","false","true","false","false","false"
"361",10062018,"Gray","false","false","false","false","true"
"362",10192018,"Gray","false","false","false","false","false"
"363",10172018,"Gray","false","false","true","false","false"
"364",10192018,"Gray","true","false","false","false","false"
"365",10192018,"Gray","false","false","true","false","false"
"366",10062018,"Gray","false","false","false","false","true"
"367",10172018,"Gray","false","false","false","true","false"
"368",10072018,"Black","true","false","true","false","false"
"369",10142018,"Gray","false","false","false","false","true"
"370",10072018,"Gray","true","false","false","false","false"
"371",10062018,"Gray","false","false","true","false","false"
"372",10072018,"Gray","true","false","true","true","false"
"373",10132018,"Gray","false","false","true","false","false"
"374",10132018,"Cinnamon","true","false","false","false","false"
"375",10082018,"Cinnamon","false","false","false","true","true"
"376",10082018,"Cinnamon","true","false","false","false","false"
"377",10142018,"Gray","false","false","true","false","false"
"378",10062018,"Gray","false","false","false","true","false"
"379",10182018,"Gray","false","false","true","false","false"
"380",10062018,"Black","true","false","false","true","false"
"381",10082018,"Gray","false","false","false","true","false"
"382",10122018,"Gray","false","false","false","true","true"
"383",10132018,"Cinnamon","false","false","true","false","true"
"384",10072018,"Gray","false","false","false","false","false"
"385",10142018,"Gray","true","false","false","false","false"
"386",10072018,"Gray","false","false","false","false","false"
"387",10142018,"Black","false","false","true","false","false"
"388",10082018,"Gray","false","false","false","false","true"
"389",10192018,"Gray","false","false","false","false","false"
"390",10102018,"Black","false","false","true","false","false"
"391",10122018,"Cinnamon","true","false","false","false","false"
"392",10142018,"Gray","false","false","false","true","true"
"393",10072018,"Gray","false","false","false","false","false"
"394",10062018,"Gray","true","false","false","false","false"
"395",10102018,"Gray","false","false","false","true","false"
"396",10142018,"Cinnamon","false","false","false","false","true"
"397",10172018,"Gray","false","false","false","false","true"
"398",10072018,"Gray","false","false","false","false","true"
"399",10132018,"Cinnamon","false","false","false","true","false"
"400",10132018,"Gray","true","false","false","false","true"
"401",10122018,"Gray","false","false","true","false","false"
"402",10122018,"Gray","true","false","true","false","true"
"403",10132018,"Gray","true","false","false","false","true"
"404",10122018,"Gray","true","false","false","true","true"
"405",10062018,"Cinnamon","true","false","false","false","true"
"406",10072018,"Gray","true","false","false","true","false"
"407",10072018,"Gray","false","false","false","true","false"
"408",10182018,"Gray","true","false","false","false","false"
"409",10132018,"Gray","true","false","false","true","false"
"410",10202018,"Gray","false","false","false","false","true"
"411",10062018,"Gray","true","false","false","false","false"
"412",10132018,"Cinnamon","false","false","false","false","true"
"413",10142018,"Gray","true","false","false","false","true"
"414",10102018,"Gray","false","false","true","false","false"
"415",10142018,"Gray","false","false","true","false","false"
"416",10132018,"Gray","false","false","false","true","false"
"417",10102018,"Gray","false","false","false","true","false"
"418",10062018,"Gray","false","false","false","true","true"
"419",10062018,"Gray","true","false","false","false","false"
"420",10122018,"Gray","true","false","false","true","false"
"421",10072018,"Gray","false","true","false","false","false"
"422",10132018,"Gray","false","false","false","false","true"
"423",10132018,"Cinnamon","false","false","false","false","true"
"424",10122018,"Cinnamon","false","false","false","false","true"
"425",10072018,"Gray","false","false","true","false","false"
"426",10082018,"Gray","true","false","false","false","false"
"427",10072018,"Gray","false","false","false","false","true"
"428",10142018,"Gray","false","false","true","false","false"
"429",10172018,"Black","false","false","true","false","false"
"430",10142018,"Gray","false","false","false","false","true"
"431",10132018,"Cinnamon","false","false","false","false","true"
"432",10072018,"Gray","false","false","false","false","false"
"433",10102018,"Gray","true","false","false","false","false"
"434",10062018,"Gray","false","false","false","false","true"
"435",10082018,"Gray","false","false","false","true","true"
"436",10072018,"Gray","false","false","false","true","true"
"437",10172018,"Gray","true","false","false","false","false"
"438",10142018,"Gray","false","false","false","false","true"
"439",10072018,"Gray","false","false","true","false","false"
"440",10072018,"Gray","false","false","false","true","true"
"441",10182018,"Gray","true","false","false","false","true"
"442",10182018,"Gray","false","false","false","false","true"
"443",10072018,"Gray","false","false","true","false","false"
"444",10142018,"Gray","false","false","false","false","true"
"445",10072018,"Gray","false","false","false","true","false"
"446",10122018,"Gray","true","false","false","false","false"
"447",10082018,"Gray","false","false","false","false","true"
"448",10062018,"Gray","false","true","false","false","false"
"449",10182018,"Gray","false","false","false","true","false"
"450",10062018,"Gray","true","false","false","false","false"
"451",10132018,"Gray","true","false","false","false","false"
"452",10062018,"Gray","false","false","false","true","true"
"453",10062018,"Cinnamon","true","false","false","false","false"
"454",10062018,"Gray","false","false","false","true","true"
"455",10172018,"Gray","false","false","true","false","false"
"456",10082018,"Cinnamon","false","false","false","false","false"
"457",10142018,"Gray","false","false","false","false","true"
"458",10132018,"Gray","false","false","false","true","false"
"459",10172018,"Cinnamon","false","false","true","true","false"
"460",10082018,"Gray","true","false","true","false","false"
"461",10172018,"Gray","false","false","false","true","true"
"462",10082018,"Cinnamon","true","false","false","false","false"
"463",10142018,"Gray","true","false","false","false","false"
"464",10082018,"Gray","false","false","false","false","true"
"465",10182018,"Gray","false","false","false","false","true"
"466",10072018,"Gray","false","false","false","false","true"
"467",10182018,"Gray","true","false","false","false","false"
"468",10072018,"Cinnamon","false","false","true","false","true"
"469",10062018,"Gray","false","true","false","false","false"
"470",10062018,"Gray","false","false","false","false","true"
"471",10142018,"Black","false","false","false","false","true"
"472",10132018,"Gray","false","true","false","false","true"
"473",10072018,"Gray","false","false","false","true","true"
"474",10062018,"Gray","false","false","false","false","false"
"475",10202018,"Cinnamon","true","false","false","false","false"
"476",10132018,"Gray","false","false","false","false","true"
"477",10062018,"Gray","true","false","false","false","false"
"478",10072018,"Gray","true","false","false","false","false"
"479",10132018,"Black","false","false","false","false","true"
"480",10192018,"Gray","false","false","false","false","true"
"481",10102018,"Gray","false","false","true","false","false"
"482",10072018,"Gray","false","false","false","false","false"
"483",10122018,"Cinnamon","false","false","false","false","true"
"484",10062018,"Gray","false","false","false","false","true"
"485",10142018,"Gray","true","false","false","false","true"
"486",10182018,"Gray","false","false","false","true","false"
"487",10072018,"Gray","false","false","false","true","true"
"488",10122018,"Cinnamon","true","false","false","false","true"
"489",10082018,"Gray","false","false","false","false","true"
"490",10142018,"Gray","false","false","false","false","true"
"491",10062018,"Cinnamon","true","false","false","false","false"
"492",10142018,"Gray","true","false","false","false","false"
"493",10192018,"Cinnamon","false","false","false","true","false"
"494",10072018,"Gray","false","false","true","false","true"
"495",10132018,"Black","false","true","false","false","false"
"496",10142018,"Gray","false","false","false","true","false"
"497",10142018,"Gray","true","false","false","false","false"
"498",10062018,"Gray","false","false","false","false","false"
"499",10142018,"Gray","true","false","false","true","false"
"500",10172018,"Gray","false","false","false","false","true"
"501",10062018,"Gray","false","true","false","false","false"
"502",10062018,"Gray","true","false","true","false","true"
"503",10072018,"Gray","false","false","true","true","false"
"504",10182018,"Cinnamon","false","false","true","false","false"
"505",10082018,"Gray","false","false","false","false","true"
"506",10062018,"Gray","false","false","true","false","true"
"507",10182018,"Cinnamon","false","false","true","false","false"
"508",10172018,"Gray","false","false","true","false","false"
"509",10082018,"Gray","false","false","true","true","false"
"511",10172018,"Gray","true","false","false","false","true"
"512",10102018,"Cinnamon","true","true","false","false","true"
"513",10132018,"Gray","false","false","false","false","true"
"514",10132018,"Gray","false","false","false","true","true"
"515",10142018,"Gray","true","false","false","false","false"
"516",10142018,"Gray","false","false","true","false","false"
"517",10132018,"Gray","false","false","false","true","true"
"518",10102018,"Gray","true","false","false","false","false"
"519",10172018,"Gray","false","false","false","false","true"
"520",10102018,"Gray","false","false","false","true","false"
"521",10132018,"Gray","false","false","false","false","true"
"522",10082018,"Gray","false","false","false","true","false"
"523",10072018,"Cinnamon","true","false","true","false","false"
"524",10102018,"Gray","false","false","false","false","true"
"525",10182018,"Gray","false","false","false","false","true"
"526",10062018,"Gray","true","false","false","false","false"
"527",10182018,"Gray","true","false","true","false","false"
"528",10102018,"Gray","false","false","true","true","false"
"529",10142018,"Gray","false","false","true","false","false"
"530",10102018,"Gray","false","true","false","false","false"
"531",10172018,"Gray","false","true","true","false","false"
"532",10102018,"Cinnamon","true","false","true","false","false"
"533",10102018,"Gray","true","false","false","true","false"
"534",10132018,"Gray","true","false","false","false","false"
"535",10102018,"Gray","false","false","false","false","true"
"536",10142018,"Gray","false","false","false","false","true"
"537",10202018,"Gray","false","false","true","false","false"
"538",10062018,"Gray","false","false","false","true","true"
"539",10142018,"Gray","false","false","false","false","true"
"540",10172018,"Black","true","false","false","false","false"
"541",10082018,"Gray","false","false","false","false","true"
"542",10142018,"Gray","false","false","false","false","true"
"543",10132018,"Cinnamon","false","false","false","true","false"
"544",10062018,"Black","false","false","false","false","true"
"545",10102018,"Gray","true","true","false","false","false"
"546",10142018,"Gray","false","false","false","true","true"
"547",10122018,"Gray","false","false","false","false","false"
"548",10062018,"Gray","false","false","false","false","true"
"549",10182018,"Gray","false","false","false","false","true"
"550",10172018,"Cinnamon","false","false","true","false","false"
"551",10072018,"Gray","false","false","false","false","false"
"552",10102018,"Gray","false","false","false","false","true"
"553",10072018,"Gray","true","false","true","false","false"
"554",10182018,"Gray","true","false","false","false","true"
"555",10102018,"Cinnamon","false","false","false","false","true"
"556",10142018,"Gray","false","false","false","false","true"
"557",10082018,"Gray","false","false","false","false","true"
"558",10142018,"Gray","false","false","false","false","true"
"559",10072018,"Gray","true","false","true","false","false"
"560",10132018,"Gray","true","false","false","false","false"
"561",10102018,"Gray","true","false","false","false","true"
"562",10062018,"Gray","false","false","false","false","true"
"563",10122018,"Gray","false","true","true","false","false"
"564",10072018,"Gray","false","false","true","false","false"
"565",10132018,"Gray","false","false","true","false","false"
"566",10122018,"Gray","true","false","false","false","false"
"567",10062018,"Gray","true","false","true","false","false"
"568",10062018,"Gray","false","false","false","false","true"
"569",10122018,"Gray","false","false","false","true","false"
"570",10102018,"Gray","false","false","false","true","false"
"571",10172018,"Gray","true","false","false","false","false"
"572",10072018,"Gray","false","false","false","true","false"
"573",10072018,"Gray","false","true","false","false","false"
"574",10142018,"Gray","false","true","false","false","false"
"575",10142018,"Gray","false","false","false","true","false"
"576",10062018,"Gray","false","false","false","true","false"
"577",10182018,"Gray","false","false","false","true","false"
"578",10142018,"Gray","false","false","false","true","true"
"579",10142018,"Gray","false","false","false","true","false"
"580",10132018,"Gray","false","true","false","false","false"
"581",10132018,"Gray","true","false","false","false","false"
"582",10102018,"Gray","false","false","false","false","true"
"583",10102018,"Gray","false","false","false","true","false"
"584",10132018,"Gray","false","false","false","false","false"
"585",10082018,"Gray","false","false","false","true","false"
"586",10072018,"Cinnamon","false","false","true","false","false"
"587",10062018,"Gray","false","true","false","false","true"
"588",10122018,"Cinnamon","false","false","false","false","true"
"589",10072018,"Gray","false","false","false","true","false"
"590",10182018,"Gray","false","false","false","false","true"
"591",10142018,"Black","false","false","true","false","false"
"592",10142018,"Gray","false","false","false","false","false"
"593",10132018,"Gray","false","false","false","true","true"
"594",10132018,"Gray","true","true","false","false","false"
"595",10102018,"Gray","false","false","false","true","true"
"596",10182018,"Gray","true","true","false","false","false"
"597",10072018,"Gray","false","false","false","false","true"
"598",10142018,"Cinnamon","false","true","false","false","false"
"599",10142018,"Gray","false","false","true","false","true"
